,feedback,mark
13836,оказалась очень короткая,negative
62004,Платье хорошее.Материал плотный .Думала будет тоненькое а оно больше на осень весну.Заказала на свой 50-52размер 2xl платье село отлично.Проймы рукава все скрадывают.Всем советую.,positive
52636,Один рукав пришел неподшитым,neautral
1627,"Очень хлипкая кофточка, размер не соответствует описанию. Деньги не компенсировали, не рекомендую.",negative
10281,"очень расстроена.  размер очень маленький, заказала xl пришел как s наверно.на рост 168см очень коротко.  продавец предлогал выслать совершенно другое платье - тряпку.  открыла спор, алиэкспресс выдвинул решение с возвратом, пересылка стоит почти как платье. деньги потрачены впустую. не рекомендую продавца",negative
31780,"Блузка соответствует описанию, единственное - была сломана пугавица.",neautral
41318,пришёл через месяц.качество желает лучшего.на бёдрах такое чувство что короче ткань.замок пристроен поверх и не до конца,neautral
69131,Очень быстрая доставка! Качество хорошее!,positive
40777,"Ткань плотная, изначально неприятно пахло, но после стирки,вроде, прошло. Размерная сетка ужасно хромает, на размер М заказала Xl и то немного маловат. Продавец не ответил на сообщение",neautral
68102,"Быстрая доставка. Хорошее качество, немного ошиблась с размером, ОБ-100, взяла L, немного большеватые.",positive
60636,"качество хорошее, рекомендую, дочка довольна, достаточно тёплый.",positive
66692,All is good! The dress is nice! ,positive
68319,"xxxl на грудь грудь 100, плечи 41 хорошо.только воротник непутевый",positive
73280,"Платье село очень хорошо! Пришло быстро, трек отслеживался) Спасибо!",positive
41289,"на рост 170 см размер М - штаны очень короткие, не хватает 10 см. Рукава тоже коротковаты. Надо было XL брать))) К телу ткань приятная. Цвет соответствует.",neautral
34994,"свитер очень тонкий!  сзади шов, непонятно почему он сзади. качество свитера-ужасное!!!!  удивлена что кому-то нравится такая вещь....",neautral
7922,посылка шла 4 месяца!!!!!!!! Лето прошло и такие носки уже не актуальны!!! не рекомендую!,negative
18881,"Ткань подкладочная, хлопок. Когда доставала выпала жемчужина прямо с середины платья, а на месте осталась дырка.",negative
70291,"Доставка долгая больше месяца, качеством довольна ",positive
42701,"По всей видимости маломерки, ношу 50р-р взяла 5хл и оно мало.",neautral
5444,"Заказ пришел быстро, но совсем не то, что на фото, курточка, если ее можно так назвать очень тонкая, как легкий пиджачок, на фото воротник такой пушистый, а на самом деле нет там такого меха, короткая, даже поясницу не закрывает. Заказывала L на свой 44 размер, мало. Когда я увидела посылку я уже была в шоке от того, что она была маленькая и легкая для куртки. Ну а когда открыла все стало понятно.  В конце концов открыла спор.",negative
12217,Трек не отслеживался. Ждала 4 месяца. Товар не пришел. Открыла спор. Деньги вернули.,negative
20566,"для огорода самое то, поясница всегда будет закрыта,они оч высокие и резиновые сапоги сверху.Качество БЕ-во первых жуткий запах,во вторых заказанные легенцы пришли с кривым рисунком и разной длины,продавец выслал другие попросила другой принт,пришли другие,но уже по сравнению с первыми они были короче ещё на 10см и шире.Так что ни одни из них носить не буду чего и вам не советую.К слову мои параметры 177 рост и вес 60",negative
2965,"Заказывала два разных платья, но продавец не стал запариваться и положил одинаковые. Двойка за это. А платья хорошие. Без запаха, качество вроде норм. ",negative
65958,"куртка супер, теплая, до -5 можно со свитером спокойно. на российский s идеально подходит xl. берите не пожалеете. швы все ровные без ниток, браков, запаха, за такие деньги просто здорово.",positive
39961,"очень низкое качество использованного материала и пошива .. сбоку на горловине торчит шов,прямо ничем не скроешь , очень дёшево смотрится , были зацепки на самом свитере местами , в принципе ,покупая свитер за 1000 р с копейками именно этого и ждёшь ,поэтому поставила оценку среднюю , но мог бы быть лучше пошив , материала лучшего качества ,конечно, за такие деньги глупо ожидать ..если бы видела этот свитер в реале , никогда бы не купила , даже 300 руб заплатить за него не захотела бы,потому что типичная секондхендовская вещь..да,кстати, свитер без каких либо этикеток ... блогера ,может,продавец шлёт нормального качества товар ,судя по тем фоткам в отзывах и восторженных отзывов ..так что ,лучше доложите деньги и купите нормального качества свитер , ведь 1000 руб  это не 100 руб..",neautral
44025,Пришло быстро. Ткань блестит и свитер довольно короткий.,neautral
19848,"Ничего не получила, продавец вернул деньги",negative
19186,"товар так и не пришел,деньги вернули",negative
73331,"на мой рост 162, российский 48р. , заказала xl, штаны маломерка , а кофта в самый раз, материал . костюмчика хороший, доставка курьером до дома",positive
28669,Норм в целом ,neautral
80658,"Качество хорошее, товар доставили на дом, размеры соответствуют описанию. Спасибо продавцу!",positive
52451,просвечивается,neautral
80932,"Fast. Quality goods. 90-80-90- approached XL , you can wear a sweater. I tested it at -17 with wind-heat. Please do not regret it. Cool.",positive
12386,"Прислали другого цвета. Заказывала молочного цвета, прислали темно-бежевую. Связалась с продавцом, он отказался менять а нужный цвет. ",negative
1166,"Товар не пришёл, долго не могла вернуть деньги",negative
35609,товар не пришел,neautral
63671,все круто.как на картинке,positive
35061,"думала что хоть на трусах резинка будет, а вот и нет!",neautral
33807,мало и кофта просвечивает,neautral
61775,"Отличный свитерок, на объёмы 90-70 сидит свободно! Доставка быстрая ",positive
10523,"плохое качество ,нитки торчат везде !короткое ,размер маленький",negative
10378,"маленький помпон да еще и мех 

 плохой ,с пуза животного",negative
13936,Велик,negative
18312,"Размер единый, но на самом деле кофта маленького размера",negative
57607,"Жене все понравилось и материал и по размеру, однозначно можно брать ",positive
23201,"Не соответствовало описанию, но часть денег продавец вернул, спасибо)",negative
73581,"XL на размер 48 хорошо, цвета яркие",positive
303,"Кофта плохого кач-ва,швы расходятся,рукава коротковатые.Вообщем такая себе.",negative
33276,"Чистой воды синтетика, очень тоненькая. Не для зимы. В целом сшита хорошо, рукав длинный, запав нет.",neautral
52042,Не по размеру,neautral
16587,очень сильно линяют при стирке.,negative
61559,"Немного не угадала с размером, надо было брать на размер меньше, хотя в целом и так хорошо!",positive
29541,"Рубаха тонковата, сильно маломерит,  XL  - на русский 44-й.  Ожидала лучшего качества.",neautral
77596,Все супер,positive
16568,"Майка очень коротка, после стирки ещё сильнее села, к продавцу претензий нет)",negative
70190,"Хорошие, красивые. Доставка в курск 3 недели ",positive
17981,товар не пришел. открывали спор. деньги вернули,negative
72343,"Очень классный , плотный , размерной сетке соответствует",positive
71711,Качество супер! Футболка мягкая и плотна!,positive
15572,"Продавец предоставил левый трек номер так ничего и не отправил полтора месяца кормил завтраками и обещал что все придет , в итоге через алиэкспресс возвращаемого деньги и вместо того чтобы признать ошибку начал врать что все отправил что все в России! Опыт крайне не удачный так что поостеригитесь, может это конечно только со мной так но тем не ение очень не приятно, предлагал перевыслать товар с нормальным отслеживамым штрихкодом а не непонятным набором цифр продавец отказался! Моё мнению е не честный продавец может думает что если сумма не большая то и внимания не обратятся! Вообще словами советской агитации Товарищи будьте бдительнымы с этим мутным кедром! Проблему решили заказав у другого продавца, но вот только жаль время потраченные на ожидание не вернеш!",negative
21271,"Немного мала,  я взяла L и рукава короткие и пуговицы пришиты красной ниткой тоесть будут линять при стирках ",negative
71552,"куртка очень хорошая, но на рост 175 надо брать xxl, потому что даже у xl рукава коротковаты! а так и цвет и фасон здоровские!",positive
69211,За такую цену отлично,positive
23337,"кофта хорошего качества, но пришла с пятнами и разводами",negative
1808,"пришли долгожданые штанишки. ждала с нетерпением и очень расстроена. написано , что кожа. там даже не самый дешёвый кож зам. там вообще не пойми что за дешевая ткань. штаны одноразовые до первой стирки. я думала они хоть чуть плотнее будут. не понятно вшиты молнии . ещё и нет висюльки на замочке. очень растроена",negative
29764,"ПЕРВАЯ КУРТКА XXL БЫЛА ОТЛИЧНОГО КАЧЕСТВА,ВТОРАЯ 4XL НАМНОГО ХУЖЕ ПЕРВОЙ, МЕХ НА КАПЮШОНЕ УЖАСНЫЙ,ЛЫСЫЙ, СПИНА ГЛАДКАЯ БЕЗ УТЯГИВАЮЩЕГО ШНУРКА НА ТАЛИИ,КОНЕЧНО НОСИТЬ БУДУ ,НО ОЧЕНЬ ЖАЛЬ",neautral
43179,"Очень жаль, продавец обманул с размером. Я написала свои размеры и уточнила у него подойдёт ли платье, он ответил да!!!!!! Но очень маленький размер(((((((",neautral
48380,"Размерная сетка не соответствует!!! Я заказывала это платье маме, оно ей мало оказалось, буду перешивать на себя.",neautral
77464,Доставка в Ростовскую область 1 месяц. Трек номер отслеживался. Товар описанию соответствует.,positive
23176,"размеры очень маломерят. взяла l на русский m. Этот l скорее всего соответствует только s.
трусики пришли не целые, без одной веревочки. 
а так ткань приличная, затяжек и дырок нет",negative
53212,"качество очень плохое. очень очень тоненькая ткань.  
доставка и продавец молодецы )",neautral
55266,"очень классно смотрится, пряжа хорошего качества видимо с ангоркой, если отпарить распушится маленько. заказала две, винный цвет и белый, все отлично не окрасились, козырек целый не большой, всё супер,как в описании. спасибо большое.отличный продавец рекомендую, отправлено было быстро и получила в течении 20 дней.",positive
49479,"Легинсы по качеству хорошие, но как угадывать с размером не понятно. М- мизерные",neautral
31594,"Блузка так себе. на ОГ-105 см xl велико в пройме, как то не правильно скроена.",neautral
47916,очень долго шел заказ,neautral
73654,За свои деньги просто отличное пончо)),positive
48621,Велики на 3 размера,neautral
61751,"пришла быстро,всё ок!",positive
32135,очень очень тонкий!доставка быстрая,neautral
69955,Жене очень понравилось! Качество хорошее!!,positive
18281,Товар не получен. Ждала 3 месяца.,negative
38100,"ЗАКАЗАЛА САМЫЙ БОЛЬШОЙ РАЗМЕР, НО К СОЖАЛЕНИЮ МАЛОВАТО ...МНЕ НЕ ОЧЕНЬ ТО ПОНРАВИЛАСЬ, ТКАНЬ СЛИШКОМ КАКАЯ ТО МЯГКАЯ, НА ОГ 110-  5XL  МАЛА.  МНЕ КАЖЕТСЯ ОНО СООТВЕТСТВУЕТ  РАЗМЕРУ ГДЕ ТО  46.",neautral
27553,"Хорошо смотрится, но синтетика 100%.¡¡¡¡",neautral
49365,"Отвратительное качество, все распускается. Нитки везде торчат и лезут.",neautral
39406,"Ткань к резинке не пристрочена, брак. Тёплая, симпатичная, размер чистый 48",neautral
4111,"Товар так и не пришел,ждала 2 месяца,продавец вернул деньги ",negative
28776,"Странно, на кого сшита эта пижама! Мой размер xs российский, заказала m китайскую, пришла пижама точно меньше на размер, так как сидит впритык, а хотелось бы, чтоб так же как и на фото- свободно. Резинка от шорт на теле оставляет следы, что не есть хорошо для кожи, особенно во время сна. И состав уж точно не хлопок, как написано в описании, но тоже приятный к телу.",neautral
76101,"Размеры маломерят. Рукава короткие,длина тоже коротковато",positive
61465,"отличное качество. не угадала с размером, но это сама виновата.",positive
4328,платье очень большого размера. не соответствует по размеру совершенно. очень длинное,negative
41095,"Твовар среднего качества. Швы обработаны некачественно, торчат нитки, ткань в области кружева никак не обработана просто отрезали ножницами (торчат нитки лахматяться)",neautral
62771,"Мягкая, очень приятная к телу, минус один лезет пух, но все плюсы перекрывают это.",positive
35471,Материал тонкий. Это только летом носить. Не пышное. Оно того не стоит. Без подклада.,neautral
15789,"Красная цена им 30р, не знаю как тут некоторым нравится качество)))
Единственный плюс - быстрая доставка.
Синтетика,кривые...нитки торчат везде,ещё и воняют.
В общем хрень полная, в помойку",negative
81017,"Качество ткани хорошее, на товаре брака нет. Спасибо продавцу, прошло по размеру!) Рекомендую!",positive
70647,"Платье понравилось. Ошиблась с размером, большое. ОГ- 96",positive
4669,очень ужасная майка. шов на шве. кружево пришито вообще непонятно как. ужаааас!!!,negative
4027,"Ужасная футболка, грубая не красивая, на фото совсем другая, своих денег не стоит",negative
75107,"Красивый свитер, спасибо)",positive
24877,"на фото прекрасная, качественная кофта. А пришла какая то синтетическая тряпка",negative
4947,"Качество пошива отвратительное, все швы кривые, за такие деньги можно купить пижаму лучшего качества. Открыли спор, продавец предложил вернут только 200 руб, служба Алиэкспресс предложила полный возврат денег и отправку товара обратно в Китай, при этом за возврат (отправку) заплатить должны мы. Отправка очень дорогая, не вижу смысла, т.е. я заплатила немалые деньги за бракованную пижаму и еще должна ее вернуть за свои деньги. Разочарована - это мягко сказано, не рекомендую!!!!",negative
68204,"Очень люблю этот магазин,люблю вещи  здесь заказанные.Заказываю уже в который раз и всегда остаюсь довольна и  вещами и доставкой!Костюм точно по описанию и фото!",positive
53223,"качество конечно не то что ожидалось,пришли с пятном,не аккуратные.общение с продавцом нормальное всё рассказывал на протяжении доставки,но к сожалению попросила возврат средств частично!на фото сами увидите что приходит!!(на самом деле не должно быть коричневых полосок,но увы и они есть (",neautral
2204,Плохо ,negative
20,"заказ не пришёл. ждала с мая. спор открывать не буду, считаю это ниже моего достоинства. Пусть будет на совести продавца. магазин заигнорю",negative
65713,"платок отличный, спасибо большое！",positive
28754,спасибо пришла быстро я поставила три звезды потому что то пришла с дыркой а так качество хорошее,neautral
28505,"ВЕрхняя часть платья очень красивая, но ни рукава, ни подол не подшиты, Общее впечатление неплохое! Спасибо! Немного великовато! Шло долго!",neautral
73580,"Очень понравились колготки, красиво смотрятся на ногах, качество мягкое и приятное, на вид прочные. Но с этим продавцом открыла спор по другому товару, т.к. пришли рваные колготки( Поэтому кому как повезет....",positive
67920,плохо тянутся.но супер за такие деньги,positive
53860,"максимальный обхват вокруг бедра около 40 см и подойдет только очень худым

maximum girth around the thigh about 40 cm and will fit only for very skinny girls",neautral
8470,"срок доставки истекает,а товар я так и не получила",negative
42923,Большая очень ,neautral
71797,Хорошая очень))),positive
62603,"спасибо,доставка быстрая,мне все понравилось. рубашка супер, жене понравилось",positive
33408,"Пришли за месяц в Казань. Носки оказали очень интересные).На 1 фото видно , что один носок больше другого. По длине они разные.Моя ласта 40 размера отлично вписалась один носок и ей в нем комфортно , а в другой втискивалась с трудом.Поэтому 3 звезды.",neautral
50618,"Водолазка хорошего качества. Но как оказалось, сильно линяет при стирке. И после полоскания тоже.",neautral
27183,"синтетика,которая сильно мнется.  Такая ткань не для лета",negative
2749,"качество ткани отличное, сама пижамка супер. и по размеру. но оказалась непрошита по шву
под грудью
получила большое разочарование",negative
33976,"ОЧЕНЬ плотная, толстая ткань, похожа на джинсу",neautral
59858,хорошо тянутся хотелось бы подлиннее размерной сетке соответствуют качество отличное,positive
5433,"Доставка месяц, свитер красивый и очень модный, согласна, НО! УЖАСНЫЙ ЗАПАХ КАНАЛИЗАЦИИ! при этом свитер сам по себе был каким-то мокрым, такое чувство, что его уронили в канализационный колодец, достали, и упаковали... Из-за этого 2 звезды... Свитер замочила вг порошке, отожму в машинке с кондиционером, надеюсь запах отойдет. заказывала бордовый. Ну и конечно же линяет, что не удивительно. Но за такие деньги заказом я довольна, буду носить.",negative
34462,"доставка быстрая. до Москвы 2 нед. выбирала размер по отзывам! девочки, вы хоть сначала себя измеряйте, а потом пишите!!! заказала размер М на параметры 100×75×90, русский S-M. безбожно мало!!! выкинутые деньги! на груди 3.5 размер вообще не сходится, заколола булавкой и стало хоть не так пошло. талия находится под грудью. качество среднее. заказывайте на 2 размера больше своего, точно не ошибетесь",neautral
18566,Товар не пришёл. Заказ закрыли без возможности открыть спор.,negative
50145,"Получила заказ очень быстро. Цвет -винный красивый. Снизила оценку за откровенно некачественный покрой. Как видно на фото, боковые швы не на местах, из-за этого сильно топорщится на спине. Придётся перешивать.",neautral
32653,"Ниче такая, прикольная. Но она как видите объемная. ",neautral
59167,"Рубашка хорошая!Кое-где нитки не аккуратно торчат,но это можно
 исправить.Маломерка.Мой размер L,продавца попросила выслать 2XL и поступила правильно,т.к оказалась в пору. Посылка хорошо отслеживалась и до Волгограда дошла за 2 недели.",positive
27492,"При заказе я описала свои параметры ОГ 99см, рост 164, вес 60 кг Через месяц получила заказ. Свитер оказался очень мал, в такую обтяжку, что подойдет на 42р., а не на мой 48р. Написала продавцу, она ответила, что на мои параметры свитер очень хорошо подходит. Некогда сейчас открывать спор, не советую никому покупать у этого продавца.",negative
21984,"Товар не получила, деньги не вернули",negative
72995,"Качество хорошее, швы ровные, все аккуратно. На русский 42 размер и параметры от 65 и об 90 XL сел идеально. И длина порадовала!!! На 165 даже есть запас.",positive
78947,"В Московскую область пришел за 8 дней!!! Качество обалденное. Рост 163 ОГ 96, ОБ 106 На попе немного не сходится, но поскольку кардиган без застежек, то и норм. Тепленький -  на холодное лето .  По длине рукава тоже отлично. Подойдет под топики и платья без рукавов",positive
49849,Ткань отличная. Все аккуратно прострочено. Но! Вещь шла почти 3 месяца!!!,neautral
31962,Ткань оказалась достаточно тонкой. Размер большемерит. Сшито достаточно аккуратно.,neautral
78297,"Все прекрасно! Посылка отслеживалась, дошла быстро. Качеством и внешним видом очень довольна: свободная и тонкая, принт яркий, как на картинке.",positive
30640,доставка быстрая.Но блузка  какой-то кошмар.цена ей 100руб. ниче го общего с картинкой нет.,neautral
20525,"ужасный товар, нити торчат, на рукавах по шву всё было изначально в дырявом состоянии! !!",negative
59957,Спасибо за быструю доставку!,positive
43557,"к сожалению не могу написать хороший отзыв и наверное это связано с работой нашей почты нежели продавца. товар не пришел,последнее нахождение товара было в Латвии от 12 сентября и всё,больше данных нет. А потом ,когда дата доставки вышла на сайте было написано- товар доставлен,оцените)",neautral
76179,очень классно красивое боди открытое очень надо приловчится сшито хорошо по почте пришло быстро извещения не приходило пошла на почту по номеру заказа нашли эх наша почта продавцу респект рекомендую,positive
18378,"заказывала объём груди 102, пришёл 80 (вобщем размер не подошёл)",negative
73185,"обычный свитерок, немного маломерит. цвет ярче чем на фото.",positive
29477,L на ОТ 62и ОБ 90 широко в талии. Штанины разной длины,neautral
10026,Заказ так и не пришёл.... прождала 2 месяца... открыла спор.... процесс возвращения денег идёт... ,negative
81001,"очень хороший продавец, товар отправил быстро, после оплаты написал и попросил поменять размер, без проблем сделал как просил, а не как в заказе. качество очень хорошее , все как на фото, Рекомендую.",positive
31151,"Доставка до Спб почти три недели, в заказе было три разных свитера. Продавец отправил через неделю!!!! Неприятного запаха не было. Мои замеры соответствуют таблице продавца. Этот свитер пришел с браком. Написала продавцу, он сам предложил открыть спор на частичный возврат, что я и сделала. Продавец честный, но очень уж медлительный.",neautral
77044,"Отличные теплые штаны. На рост 175см размер хл коротковат совсем немного, не критично. Доставка быстрая. 
Продавца и товар рекомендую.",positive
17875,"ужасные,описанию не соответствуют!",negative
22102,"основная претензия к товару........ 
НЕ ХЛОПОК!!!
Какого хрена писать, что хлопок, если материал ГОЛИМАЯ СИНТЕТИКА!!!!
Да, сшито хорошо, да по размерной сетке выбрали правильно, но.....
Брал ребенку на лето, в итоге в жару ребенок сильно потеет, гулять ему некомфортно!!!!!
Стыд и позор продавцу!",negative
27054,"товар не пришел, деньги не вернули.",negative
74706,"Заказ не пришёл, но продавец всегда был на связи , деньги вернули, поэтому 5. ",positive
21523,"Товар не пришёл, спор открыть не успела",negative
70147,Отличный пуховой свитер！,positive
27745,товар не отслеживается,neautral
18337,"Заказывала 23.06.,  продавец 2 раза продливал защиту товара. Так ничего не получила. После открытия спора, продавец  уговаривал еще подождать. Еле выбила свои деньги за товар. Был еще заказ у этого продавца,тоже ничего не пришло. За доставку деньги не вернул, хотя обещал. Жалко потраченого времени и нервов,поэтому такая оценка.",negative
19274,"заказала 1.07. Сегодня22.08, товар не пришел. Открыла спор, возврат денег одобрен. Но обидно, шорты хотела взять на море. Бывает, что товар приходит позже. Если получу, деньги обратно перешлю продавцу.",negative
12079,"Платье неплохое,по размеру. Но на белой части пятна,которые ни чем не удалить.",negative
7525,Размер не подошёл хотя заказывали чуть больше ,negative
45731,Размер соответствует. Кривой раскрой спереди с одного бока. Трек не отслеживался.,neautral
13805,заказ так и не пришел.а я так ждала а меня ждал большой облом,negative
57416,"Платьем довольна на все 100, качественно сшито, не без торчащих ниток, конечно. Узор чёткий, яркий. К телу комфортно на 44 - М. Спасибо, буду заказывать ещё! ",positive
63628,"ооочень нравится,на ог112,от 95 села хорошо,ещё отгладить вообще красота будет,шла 3 недели,спасибо продавцу!!!",positive
55560,"Fast delivery, good quality, great seller, great price. Advise! 10 stars!!",positive
48191,"заказала цвет белый, прислали зеленый...размер 5 хл на 50 рус.не в обтяг, но грудь нужна см.120, не меньше！",neautral
13296,"К сожалению, товар в Московскую область не пришёл. Продавец вернул деньги ",negative
46085,"Заказ пришел в раен крайнего севера за 17 дней. Касаемо качества, немного тонкая ткань, и вместо белого шнурка на капюшоне прислали с черным, хотя настойчиво просила что б шнурок был БЕЛЫМ это слегка огорчило. По размеру подошло хорошо.",neautral
69529,2xl на бедра 113см мало((,positive
14226,Это просто ужас...,negative
42730,"Получила сегодня джинсы, доставка курьером.   Джинсы  хорошие, теплые, размер подошел, на ОБ 100 и рост 162.    29 р-р, то, что нужно.  Огорчило то, что шов с правой стороны брючины разошелся, за это пришлось снять звездочки, но это не так критично, снесу в ателье.",neautral
16146,"товар не пришел, деньги не вернули!!!",negative
61186,на 46 можно заказать 28,positive
4419,"25 мая оплатила товар, дважды продляли защиту и 5 сентября товар все ещё не пришёл, создала спор, продавец согласился вернуть деньги, но прошла неделя а денег все нет... если вдруг придут, дополню отзыв.",negative
21667,"посылка не отслеживалась, возврата денег не сделано",negative
73620,Шорты пришли в г.Волгоград через 4 недели. Ношу размер S  заказывал 38 размер- подошли идеально.качество хорошее. Коротенькие. Хорошо сидят и смотрятся.,positive
33424,Качество совершенно неприемлемо. Неровные швы и не приятный материал,neautral
11485,Материал очень низкого качества,negative
14888,"тряпка. отвратительная тряпка. если хоть немного уважаете себя, не думайте даже брать",negative
45975,Очень узкие рукава,neautral
17965,заказ не пришел!!! деньги не вернули!!! ждала 4 месяца!!!,negative
38016,отличается от картинки ткань синтетика.,neautral
76890,"Очень классный халат,  но рукава великоваты.  Размер M рост 166 вес 54",positive
76174,"Брючки пришли за 20 дней. Все утроило, но!!!  Всем присылает белый лампас из кожи, а мне из ткани! Постирала на руках, и отжала в машинке, в итоге одна полоска немного окрасилась!!!! Это жесть конечно. За это снимаю звезду, брюки очень сильно красят воду в черную! Лампас тоже окрашивается если он из ткани а не из кожи! 
В целом брюки сели на параметры талия 63, бедра 92 размер s отлично, больше и не нужно! Длина по косточку при моем росте 158. Брюки и с туфлями и с ботинками будут сидеть отлично. 
Расстроилась только из за тканевых лампасов!!!
Ткань 100% синтетика, но я это знала и так. 
Сидят отлично, спереди собирается пузырь небольшой.",positive
76122,"Платье соответствует фото и на рост 168 см очень хорошо, в пол. И на каблуках тоже очень хорошо смотрится!",positive
29513,"не самый лучший крой, но в принципе нормально",neautral
71775,"На рост 172 и размер M, эта толстовка размера L подошла хорошо. Не очень толстая, насколько в ней тепло пока не знаю. Принт весь как на фото.",positive
34589,ткань очень тонкая и воротник на плечах вообще не держится,neautral
63408,"Отличная кофта,хорошее качество, крепкие швы. На на русский 46-48 брала М - села отлично.",positive
4044,"Заказ так и не дошёл до меня. После долгих разборок с продавцом я еле еле получила свои деньги обратно. И как я понимаю он выкладывает только положительные отзывы! Ещё раз заказала, очень надеюсь что придут на этот раз. ",negative
7975,"пижама выполнена из дешевой тонкой просвечивающей синтетики.коленки обработаны неаккуратно( на фото видно).  размер не соответсвует заказу, заказали самый маленький размер из того, что есть- М, а прислали огромную кофту и узкие штаны с узкой резинкой и маркировкой L. в общем какая-то неразбериха.",negative
65678,"Товар дошёл до Саратова за 2 недели. Отслеживался. Пришло в двух пакетах. Запах новый. +этикетки. Качество хорошее. Кружево мягкое. Но мне не подошёл по размеру. Мои обхват груди 78 см. Грудь просто вошла в чашки, не смотря на пуш ап. Заказывала 75в. У меня все лифы такого размера, но этот не подошёл. Грудь второго размера будет шикарно смотреться. ",positive
62642,размер соответствует. мягкая и теплая.,positive
29335,"Рубашка оказалась не по размеру, хотя заказывала все правильно. ",neautral
15917,"Отвратительное отношение к покупателю. Прождала больше трех месяцев, заказ так и не пришел. деньги вернули только после открытия спора, при чем спор открывала четыре раза.",negative
26214,пуговицы не застагиваются! мал по обьему!,negative
13144,очень тонкая ткань,negative
52248,"2 недели до ХМАО, не отслеживается, упаковка хорошая, штаны не плохие, легкие, как раз на лето, только много брака(( жирные пятна и черное пятно внизу штанины, на поясе заклепки криво сделаны, и расстроила затяжка на попе, при носке станет дыркой( открыла спор вернули половину стоимости, покупала за 400 р... смотрите сами брать или нет..",neautral
